Timestamp,Open,High,Low,Price,Volume,RSI,EMA,SMA,Target
2020-08-12,3.2985,3.9289,3.08,3.7558,1737042.95,100.0,3.4509333333333334,3.52715,3.73
2020-08-13,3.75,4.1387,3.5003,3.73,1685759.24,94.65949078865663,3.5439555555555557,3.5947666666666667,3.4099
2020-08-14,3.7207,3.7676,3.321,3.4099,1474161.79,56.93476095617528,3.4992703703703705,3.54855,3.173
2020-08-15,3.4181,3.74,3.15,3.173,1070233.2,43.966926257090655,3.390513580246914,3.47344,3.3885
2020-08-16,3.173,3.4907,3.12,3.3885,668106.53,53.58394393118827,3.389842386831276,3.49144,3.11
2020-08-17,3.3885,3.3952,3.1,3.11,729413.64,43.856332703213596,3.296561591220851,3.3622799999999997,3.3407
2020-08-18,3.11,3.7092,2.8105,3.3407,2713115.94,51.195602901178596,3.311274394147234,3.28442,2.8868
2020-08-19,3.334,3.49,2.8,2.8868,1433243.76,40.72204444043809,3.1697829294314896,3.1797999999999997,3.2038
2020-08-20,2.8962,3.445,2.8871,3.2038,1277827.32,48.13266553614387,3.1811219529543266,3.18596,2.9317
2020-08-21,3.2038,3.24,2.89,2.9317,1131895.9,43.46819574043736,3.0979813019695515,3.0946,3.0126
2020-08-22,2.9213,3.2,2.7431,3.0126,1169417.78,45.05140720739432,3.0695208679797013,3.07512,3.25
2020-08-23,3.0224,3.4,3.0014,3.25,1198036.69,49.224273055884325,3.1296805786531348,3.0569800000000003,3.3405
2020-08-24,3.2658,3.62,3.21,3.3405,1315196.06,50.65286327177765,3.1999537191020897,3.1477200000000005,3.25
2020-08-25,3.3406,3.3654,3.0001,3.25,1149187.37,49.26672915847721,3.2166358127347268,3.15696,3.5684
2020-08-26,3.2576,3.7999,3.1809,3.5684,2290030.56,47.04248469162301,3.3338905418231515,3.2843000000000004,3.4501
2020-08-27,3.5557,3.8575,3.2434,3.4501,2412974.8,45.70797681479438,3.3726270278821016,3.3717999999999995,4.0063
2020-08-28,3.4503,4.3091,3.4503,4.0063,2581936.84,58.52779684282773,3.5838513519214015,3.5230599999999996,3.9535
